modelo,accuracy,precision,recall,f1,roc_auc
Evaluación externa - hungarian,0.8197278911564626,0.8354430379746836,0.6226415094339622,0.7135135135135136,0.8498093135287033
Evaluación externa - switzerland,0.3170731707317073,0.9696969696969697,0.2782608695652174,0.43243243243243246,0.6956521739130435
Evaluación externa - va_long_beach,0.535,0.868421052631579,0.4429530201342282,0.5866666666666667,0.6591656796946966
