modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Regresión Logística,0.8481420765027323,0.038404222298648344,0.8681134646352037,0.06131789256690598,0.7910052910052909,0.03737562542317325,0.8271359141947376,0.043180127373732016,0.9149766514349847,0.021282752274972058
KNN,0.8448633879781422,0.0322165327700856,0.844052614052614,0.06150753807559116,0.8203703703703704,0.05468197013497889,0.8291884360849877,0.033977303744334914,0.8856691919191917,0.04005738039084216
Árbol de Decisión,0.775191256830601,0.06484232305806006,0.7740185102254067,0.08252645328635205,0.7177248677248677,0.12314409884283126,0.7407878095826508,0.09425879509189895,0.8018588664421997,0.055920459599143796
Random Forest,0.8250819672131147,0.013081013062610447,0.8391441891441891,0.04035850011962083,0.7695767195767196,0.03767775355212682,0.8012542794895735,0.014972889947680793,0.9112291065416065,0.019314497391721152
Gradient Boosting,0.7985245901639344,0.029369030261267783,0.8011527093596058,0.05562537146433076,0.7550264550264549,0.07419868581278541,0.7735163224253876,0.03807927061263953,0.8832654421196088,0.01994135521067034
